schema_name,table_name,constraint_name,constraint_type,definition,is_validated,is_deferrable,initially_deferred
public,creator_posts,creator_posts_original_post_id_fkey,foreign_key,FOREIGN KEY (original_post_id) REFERENCES creator_posts(id) ON DELETE SET NULL,t,f,f
public,creator_posts,creator_posts_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,credit_ledger,credit_ledger_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,credit_ledger,credit_ledger_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,editorial_collections,editorial_collections_created_by_fkey,foreign_key,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL,t,f,f
public,editorial_collections,editorial_collections_playlist_id_fkey,foreign_key,FOREIGN KEY (playlist_id) REFERENCES playlists(id) ON DELETE CASCADE,t,f,f
public,editorial_collections,editorial_collections_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,editorial_collections,editorial_collections_playlist_id_key,unique,UNIQUE (playlist_id),t,f,f
public,editorial_collections,editorial_collections_slug_key,unique,UNIQUE (slug),t,f,f
public,faq_items,faq_items_category_check,check,"CHECK (category::text = ANY (ARRAY['general'::character varying::text, 'player'::character varying::text, 'upload'::character varying::text, 'abonnement'::character varying::text, 'ia'::character varying::text, 'technique'::character varying::text]))",t,f,f
public,faq_items,faq_items_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,faq_votes,faq_votes_faq_id_fkey,foreign_key,FOREIGN KEY (faq_id) REFERENCES faq_items(id) ON DELETE CASCADE,t,f,f
public,faq_votes,faq_votes_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,faq_votes,faq_votes_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,faq_votes,faq_votes_faq_id_user_id_key,unique,"UNIQUE (faq_id, user_id)",t,f,f
public,follow_requests,follow_requests_requester_id_fkey,foreign_key,FOREIGN KEY (requester_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,follow_requests,follow_requests_target_id_fkey,foreign_key,FOREIGN KEY (target_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,follow_requests,follow_requests_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,follow_requests,follow_requests_requester_id_target_id_key,unique,"UNIQUE (requester_id, target_id)",t,f,f
public,forum_post_likes,forum_post_likes_post_id_fkey,foreign_key,FOREIGN KEY (post_id) REFERENCES forum_posts(id) ON DELETE CASCADE,t,f,f
public,forum_post_likes,forum_post_likes_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
